"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","getFormattedDate возвращает строку в формате DD-MM-YYYY","Mobile Chrome","2026-08-04","passed","2026-08-04","","dateHelper.spec.ts","",""
"","667","Успешный логин","chromium","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","476","Негативный логин: standard_user","chromium","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","867","Оформление с пустыми полями","Mobile Chrome","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","506","Негативный логин: пустое поле","Mobile Chrome","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","1595","Оформление с пустыми полями","webkit","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","1255","Оформление с пустыми полями","firefox","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","724","Удаление товара из корзины","Mobile Chrome","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","978","Логин заблокированного пользователя","firefox","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","825","Негативный логин: locked_out_user","firefox","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","1585","Сортировка товаров по цене","webkit","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","1678","Удаление товара из корзины","webkit","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","1144","Негативный логин: пустое поле","webkit","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","1157","Логин заблокированного пользователя","webkit","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","1153","Негативный логин: locked_out_user","webkit","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","838","Полный цикл оформления заказа","chromium","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","1","getFormattedDate возвращает строку в формате DD-MM-YYYY","chromium","2026-08-04","passed","2026-08-04","","dateHelper.spec.ts","",""
"","1142","Отображение списка товаров","Mobile Chrome","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","3645","Переход в корзину через иконку","webkit","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","1365","Отображение списка товаров","webkit","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","1979","Выход из системы","firefox","2026-08-04","passed","2026-08-04","","logout.spec.ts","",""
"","1396","Выход из системы","Mobile Chrome","2026-08-04","passed","2026-08-04","","logout.spec.ts","",""
